,roles,companies,locations,experience,skills
0,Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
1,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
2,Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
3,Data Scientist - Machine Learning & Statistical Analysis - R/python,Talent Stock Solutions,Delhi,2-5 Yrs,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
4,Data Scientist,Zen3Tech (A Tech Mahindra Company),Hyderabad,3-8 Yrs,"R
A/B Testing
Data Manipulation
Machine Learning
Python"
5,Data Scientist,Extentia Information Technology Pvt Ltd,Pune,0-2 Yrs,"Machine Learning
Python"
6,Data Scientist,KONE Elevator India Pvt. Ltd,Pune,3-5 Yrs,"predictive algorithms
K-Means
Github
Generalized Linear Model
random forest
Clustering
Machine Learning
Deep Learning"
7,Data Scientist | Integreon Managed Solutions | Mumbai,INTEGREON MANAGED SOLUTIONS INDIA PVT LIMITED,Mumbai,2-7 Yrs,"analytics
python
tableau
regression
predictive modeling
data scientist
statistical modeling
market analysis"
8,Data Scientist,Bigshyft Hiring for Indus OS,Mumbai,2-5 Yrs,"cassandra
Scala
Hadoop
Spark
Python"
9,Senior Data Scientist (NLP),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,5-7 Yrs,"Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
10,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
11,"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
12,Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
13,"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
14,Data Scientist,Black Knight India Solutions Private Limited,Hyderabad,6-10 Yrs,"Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
15,Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
16,Senior Data Scientist ( AVP ) – Leading Finance Company – Bangalore,Hector and Streak Consulting Pvt Ltd,Bengaluru,7-10 Yrs,"Data Science
Algorithms
Artificial Intelligence
Machine Learning
Deep Learning
Fraud Detection"
17,Data Scientist - Bangalore MNC - C2H - Webex Interview,Collabera Technologies Private Limited,Bengaluru,7-12 Yrs,"Tensorflow
Data Science
Keras
DATA SCIENTIST
Machine Learning
Numpy
Python"
18,Senior Data Scientist - Artificial Intelligence - Online/ Ecommerce,Change Leaders,"Navi Mumbai, Mumbai",3-7 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
19,"Data Scientist, Data Science Engineer Required with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Mumbai, Thane",0-5 Yrs,"python
oracle
Oracle Developer
ai
python developer
python programmer
machine learning
data science trainees"
20,Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
21,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
22,Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
23,Data Scientist - Machine Learning & Statistical Analysis - R/python,Talent Stock Solutions,Delhi,2-5 Yrs,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
24,Data Scientist,Zen3Tech (A Tech Mahindra Company),Hyderabad,3-8 Yrs,"R
A/B Testing
Data Manipulation
Machine Learning
Python"
25,Data Scientist,KONE Elevator India Pvt. Ltd,Pune,3-5 Yrs,"predictive algorithms
K-Means
Github
Generalized Linear Model
random forest
Clustering
Machine Learning
Deep Learning"
26,Data Scientist,Extentia Information Technology Pvt Ltd,Pune,0-2 Yrs,"Machine Learning
Python"
27,Data Scientist | Integreon Managed Solutions | Mumbai,INTEGREON MANAGED SOLUTIONS INDIA PVT LIMITED,Mumbai,2-7 Yrs,"analytics
python
tableau
regression
predictive modeling
data scientist
statistical modeling
market analysis"
28,Data Scientist,Bigshyft Hiring for Indus OS,Mumbai,2-5 Yrs,"cassandra
Scala
Hadoop
Spark
Python"
29,Senior Data Scientist (NLP),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,5-7 Yrs,"Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
30,Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
31,"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
32,Data Scientist,Black Knight India Solutions Private Limited,Hyderabad,6-10 Yrs,"Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
33,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
34,"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
35,Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
36,Senior Data Scientist ( AVP ) – Leading Finance Company – Bangalore,Hector and Streak Consulting Pvt Ltd,Bengaluru,7-10 Yrs,"Data Science
Algorithms
Artificial Intelligence
Machine Learning
Deep Learning
Fraud Detection"
37,Data Scientist - Bangalore MNC - C2H - Webex Interview,Collabera Technologies Private Limited,Bengaluru,7-12 Yrs,"Tensorflow
Data Science
Keras
DATA SCIENTIST
Machine Learning
Numpy
Python"
38,Senior Data Scientist - Artificial Intelligence - Online/ Ecommerce,Change Leaders,"Navi Mumbai, Mumbai",3-7 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
39,"Data Scientist, Data Science Engineer Required with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Mumbai, Thane",0-5 Yrs,"python
oracle
Oracle Developer
ai
python developer
python programmer
machine learning
data science trainees"
40,Data Scientist,Bigshyft Hiring for Decision Point Analytics,Gurgaon,2-5 Yrs,"Java
Hadoop
Data Mining
Python
SQL"
41,Data Scientist,Bigshyft Hiring for Jubna,Noida,2-4 Yrs,"R
Hadoop
Big data
Python
SQL"
42,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
43,Data Scientist,Bigshyft Hiring for Roadzen,Delhi,3-7 Yrs,"R
Computer Vision
Machine Learning
Deep Learning
Python"
44,Data Scientist,Bigshyft Hiring for ALTEN Calsoft Labs,Bengaluru,3-7 Yrs,"Scala
Hadoop
Predictive Modelling
SQL
Python"
45,Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,3-5 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
46,Data Scientist,Bigshyft Hiring for Valiance Solutions,Noida,1-3 Yrs,"Scala
Data Mining
Spark"
